Date,Silver_PKR_per_Ounce
2019-06-04,2185.7
2019-06-05,2181.32
2019-06-06,2194.37
2019-06-07,2245.19
2019-06-10,2217.5
2019-06-11,2234.16
2019-06-12,2239.46
2019-06-13,2269.77
2019-06-14,2282.24
2019-06-17,2327.66
2019-06-18,2357.29
2019-06-19,2376.33
2019-06-20,2428.8
2019-06-21,2408.16
2019-06-24,2433.38
2019-06-25,2408.89
2019-06-26,2400.71
2019-06-27,2457.9
2019-06-28,2496.75
2019-07-01,2458.74
2019-07-02,2408.3
2019-07-03,2428.18
2019-07-04,2421.64
2019-07-05,2354.05
2019-07-08,2376.43
2019-07-09,2391.42
2019-07-10,2418.07
2019-07-11,2397.23
2019-07-12,2405.39
2019-07-15,2456.16
2019-07-16,2483.59
2019-07-17,2542.49
2019-07-18,2603.72
2019-07-19,2592.23
2019-07-22,2615.31
2019-07-23,2624.81
2019-07-24,2670.55
2019-07-25,2645.96
2019-07-26,2633.89
2019-07-29,2650.43
2019-07-30,2666.7
2019-07-31,2614.27
2019-08-01,2620.0
2019-08-02,2585.27
2019-08-05,2637.34
2019-08-06,2624.69
2019-08-07,2733.07
2019-08-08,2715.48
2019-08-09,2680.05
2019-08-12,2737.61
2019-08-13,2721.3
2019-08-14,2763.43
2019-08-15,2766.36
2019-08-16,2733.18
2019-08-19,2673.02
2019-08-20,2745.04
2019-08-21,2742.28
2019-08-22,2731.27
2019-08-23,2790.29
2019-08-26,2807.28
2019-08-27,2894.32
2019-08-28,2908.82
2019-08-29,2893.26
2019-08-30,2894.93
2019-09-02,2883.73
2019-09-03,3034.23
2019-09-04,3067.69
2019-09-05,2930.3
2019-09-06,2837.82
2019-09-09,2810.01
2019-09-10,2824.24
2019-09-11,2831.63
2019-09-12,2830.77
2019-09-13,2732.75
2019-09-16,2776.71
2019-09-17,2819.07
2019-09-18,2773.46
2019-09-19,2790.9
2019-09-20,2818.39
2019-09-23,2918.59
2019-09-24,2917.91
2019-09-25,2817.72
2019-09-26,2811.43
2019-09-27,2750.29
2019-09-30,2678.56
2019-10-01,2708.37
2019-10-02,2749.07
2019-10-03,2761.28
2019-10-04,2744.77
2019-10-07,2726.13
2019-10-08,2787.72
2019-10-09,2803.79
2019-10-10,2742.68
2019-10-11,2746.11
2019-10-14,2767.54
2019-10-15,2725.02
2019-10-16,2716.16
2019-10-17,2739.29
2019-10-18,2736.14
2019-10-21,2739.98
2019-10-22,2743.93
2019-10-23,2739.85
2019-10-24,2777.13
2019-10-25,2811.25
2019-10-28,2776.93
2019-10-29,2769.48
2019-10-30,2777.66
2019-10-31,2813.18
2019-11-01,2807.36
2019-11-04,2804.71
2019-11-05,2746.5
2019-11-06,2751.39
2019-11-07,2671.51
2019-11-08,2622.13
2019-11-11,2625.26
2019-11-12,2622.67
2019-11-13,2642.95
2019-11-14,2650.02
2019-11-15,2638.05
2019-11-18,2657.03
2019-11-19,2675.53
2019-11-20,2677.82
2019-11-21,2657.81
2019-11-22,2643.5
2019-11-25,2626.17
2019-11-26,2653.46
2019-11-27,2638.91
2019-11-28,2631.79
2019-11-29,2643.55
2019-12-02,2626.66
2019-12-03,2664.1
2019-12-04,2617.47
2019-12-05,2630.18
2019-12-06,2566.41
2019-12-09,2574.44
2019-12-10,2582.38
2019-12-11,2615.34
2019-12-12,2617.28
2019-12-13,2624.07
2019-12-16,2640.73
2019-12-17,2635.91
2019-12-18,2637.29
2019-12-19,2636.25
2019-12-20,2663.07
2019-12-23,2702.0
2019-12-24,2751.86
2019-12-25,2748.56
2019-12-26,2773.0
2019-12-27,2750.6
2019-12-30,2775.59
2019-12-31,2765.75
2020-01-01,2785.46
2020-01-02,2791.83
2020-01-03,2796.71
2020-01-06,2809.98
2020-01-07,2881.27
2020-01-08,2808.34
2020-01-09,2771.31
2020-01-10,2803.47
2020-01-13,2776.58
2020-01-14,2762.19
2020-01-15,2787.97
2020-01-16,2776.69
2020-01-17,2788.2
2020-01-20,2795.82
2020-01-21,2745.24
2020-01-22,2763.23
2020-01-23,2749.17
2020-01-24,2801.03
2020-01-27,2795.13
2020-01-28,2700.89
2020-01-29,2714.01
2020-01-30,2756.65
2020-01-31,2785.5
2020-02-03,2734.21
2020-02-04,2720.29
2020-02-05,2721.58
2020-02-06,2752.04
2020-02-07,2734.98
2020-02-10,2746.93
2020-02-11,2724.71
2020-02-12,2706.91
2020-02-13,2727.04
2020-02-14,2738.86
2020-02-17,2749.94
2020-02-18,2804.48
2020-02-19,2837.83
2020-02-20,2842.6
2020-02-21,2854.09
2020-02-24,2871.21
2020-02-25,2786.79
2020-02-26,2764.61
2020-02-27,2744.9
2020-02-28,2572.95
2020-03-02,2595.87
2020-03-03,2661.87
2020-03-04,2650.68
2020-03-05,2696.99
2020-03-06,2676.33
2020-03-09,2657.42
2020-03-10,2665.89
2020-03-11,2678.02
2020-03-12,2498.84
2020-03-13,2313.68
2020-03-16,2066.11
2020-03-17,2031.95
2020-03-18,1950.41
2020-03-19,1925.63
2020-03-20,1999.06
2020-03-23,2175.76
2020-03-24,2328.65
2020-03-25,2302.75
2020-03-26,2347.47
2020-03-27,2337.98
2020-03-30,2324.81
2020-03-31,2322.4
2020-04-01,2328.48
